Found!ကနေ ့	ကနေ့
Found!နိ်ုင်ငံသား	နိုင်ငံသား
Found!နည်းဘဲသုံးနေကြဆဲပါ	နည်းပဲသုံးနေကြဆဲပါ
Found!နည် းသည့် 	နည်းသည့် 
Found!နပ်ဖြတ်ပြီး	နယ်ဖြတ်ပြီး
Found!နမချင်း	နှမချင်း
Found!နှာခေါင်းရူံ့	နှာခေါင်းရှုံ့
Found!နှာဘူးထတက်တဲ့	နှာဘူးထတတ်တဲ့
Found!နှင် ့ 	နှင့် 
Found!နှင် ့	နှင့်
Found!နှိုုင်းယှဉ်	နှိုင်းယှဉ်
Found!နှိုင်းယှာဉ်	နှိုင်းယှဉ်
Found!နှိုင်ယှဉ်ဖို့	နှိုင်းယှဉ်ဖို့
Found!နှိုင်းယှဉ်ရင်ု	နှိုင်းယှဉ်ရင်
Found!နှိူင်းယှဉ်သုံးသပ်ပါ	နှိုင်းယှဉ်သုံးသပ်ပါ
Found!နှစ်နိ်ုင်ငံ	နှစ်နိုင်ငံ
Found!နှစ်မြုတ်မှု	နှစ်မြှပ်မှု
Found!နှတ်ထွက်တယ်လို့ 	နှုတ်ထွက်တယ်လို့ 
Found!နှီမ်ချ	နှိမ်ချ
Found!နှိ်မ်နှင်းရေး	နှိမ်နှင်းရေး
Found!ပညာရေးစနစေ်	ပညာရေးစနစ်
Found!ပဠိက္ခ	ပဋိပက္ခ
Found!ပထမဉီးဆုံး	ပထမဦးဆုံး
Found!ပဒေသရာဇာ်	ပဒေသရာဇာ
Found!ပါကစ္စတ်	ပါကစ္စတန်
Found!ပါတီရဲ ့	ပါတီရဲ့
Found!ပါပဲလှေ	ပါပဲလေ
Found!ပုဂံခောက်	ပုဂံခေတ်
Found!ပေမယ် ့	ပေမယ့်
Found!ပေးနိူင်မယ်ဆိုရင်	ပေးနိုင်မယ်ဆိုရင်
Found!ပေးဖ ို့	ပေးဖို့
Found!ပေယုံပဲလေ	ပေးရုံပဲလေ
Found!ပေးလိ်ုက်ချင်	ပေးလိုက်ချင်
Found!ပေးသွားနိ်ုင်	ပေးသွားနိုင်
Found!ပိုတိုးမြင့်ပြီး	ပိုတိုးမြှင့်ပြီး
Found!ပိုတက်ပြီး	ပိုတတ်ပြီး
Found!ပိုဆောင်သူ	ပို့ဆောင်သူ
Found!ပေါက်ခဲ့ပါရဲ ့လား	ပေါက်ခဲ့ပါရဲ့လား
Found!ပိုက်ဆံရ ဒါက	ပိုက်ဆံရ တာက
Found!ပုဂ်္ဂိုလ်	ပုဂ္ဂိုလ်
Found!ပုဂ်္ဂိုလ်များ	ပုဂ္ဂိုလ်များ
Found!ပင်လာ်ကမ်းခြေ	ပင်လယ်ကမ်းခြေ
Found!ပင်လယ်လှိ်ုင်း	ပင်လယ်လှိ်ုင်း
Found!ပေါက်းစုံရှိတတ်တယ်	ပေါင်းစုံရှိတတ်တယ်
Found!ပိ်ုင်တယ်	ပိုင်တယ်
Found!ပစ္စည် း	ပစ္စည်း
Found!ပတ်ဝယ်လိူက်ရသေးတယ်	ပတ်ဝယ်လိုက်ရသေးတယ်
Found!ပါတ်သက်လို့	ပတ်သက်လို့
Found!ပိတ်ပင်ထားစဲရှိလား	ပိတ်ပင်ထားဆဲရှိလား
Found!ပိတ်ပင်လိ်ုက်တာဟာ	ပိတ်ပင်လိုက်တာဟာ
Found!ပိတ် ပင် လိမ် ့မယ်	ပိတ် ပင် လိမ့်မယ်
Found!ပိ်တ်မိနေ	ပိတ်မိနေ
Found!ပုတ်ခတ်နိူင်ကြပါစေ 	ပုတ်ခတ်နိုင်ကြပါစေ 
Found!ပန်းကြားထား	ပန်ကြားထား
Found!ပန်းရဲ့လမ်း	ပန်းရဲလမ်း
Found!ပုန်ကန်မှူ	ပုန်ကန်မှု
Found!ပုန်းခိ်ု	ပုန်းခို
Found!ပျက်ဆီးခြင်း	ပျက်စီးခြင်း
Found!ပျက်ဆီးတာ	ပျက်စီးတာ
Found!ပျက်ဆီးမှု	ပျက်စီးမှု
Found!ပျက်ဆီးလာပြီး	ပျက်စီးလာပြီး
Found!ပျောက်လိမ့့်မယ်	ပျောက်လိမ့်မယ်
Found!ပြေနေတဲ့	ပြနေတဲ့
Found!ပြသရင်းသား	ပြရင်းသား
Found!ပြိးတော့	ပြီးတော့
Found!ပီးနိုင်လဲ	ပြီးနိုင်လဲ
Found!ပြီးပြည့်စုအောင် 	ပြီးပြည့်စုံအောင် 
Found!ပြိီးမှ	ပြီးမှ
Found!ပြီးသွားပြီး	ပြီးသွားပြီ
Found!ပြုပြင်ဘို့	ပြုပြင်ဖို့
Found!ပြောဆိုခြ့သလို	ပြောဆိုခဲ့သလို
Found!ပြောဆိုလိ်ုက်တာပါ။	ပြောဆိုလိုက်တာပါ။
Found!ပြေားတာ	ပြောတာ
Found!ပြောတါလဲ	ပြောတာလဲ
Found!ပြာပြနေတဲ့	ပြောပြနေတဲ့
Found!ပြောနပြီး	ပြောပြပြီး
Found!ပြေရရင်	ပြောရရင်
Found!ပြောလိုက်သေတယ် 	ပြောလိုက်သေးတယ် 
Found!ပြောသင့်ဆယ်﻿	ပြောသင့်တယ်
Found!ပြောသွားူတာ	ပြောသွားတာ
Found!ပျိုကြတာ	ပြိုကြတာ
Found!ပြင်ဆင်မူ့	ပြင်ဆင်မှု
Found!ပြင်ပီးသလောက်	ပြင်ပြီးသလောက်
Found!ပြောင်းရွှေ ့	ပြောင်းရွှေ့
Found!ပြောင် းလိုက် သည် 	ပြောင်းလိုက် သည် 
Found!ပြစ်တင် ရှု ံ့ချ	ပြစ်တင် ရှုံ့ချ
Found!ပြည်သူ ့ဆေးရုံကြီး	ပြည်သူ့ဆေးရုံကြီး
Found!ပြည့်မြောက်ပီ	ပြည့်မြောက်ပြီ
Found!ပြည့်မီတဲ့	ပြည့်မှီတဲ့
Found!ပျက်လက်နေတာ	ပြတ်လပ်နေတာ
Found!ပြန်တိုက်ယုမှ	ပြန်တိုက်ယူမှ
Found!ပြနါပြန်ဖတ်ပေး	ပြန်ပြန်ဖတ်ပေး
Found!ပြန်မပြောရဲ့	ပြန်မပြောရဲ
Found!ပြန်လညဲ်ပြီး	ပြန်လည်ပြီး
Found!ပြည်လည်လက်ခံရေး	ပြန်လည်လက်ခံရေး
Found!ပြန်သွှင်း	ပြန်သွင်း
Found!ပြသနာတက်မှာဆိုးပြီး 	ပြဿနာတက်မှာစိုးပြီး 
Found!ပွားများပိူ့	ပွားများဖို့
Found!ပွဲတော်တည်နိူင်ပါတော့မယ်	ပွဲတော်တည်နိုင်ပါတော့မယ်
Found!ပျှော်ရွှင်မှု	ပျှော်ရွှင်မှု
Found!ဖျန့်ဖြစ်ချင်လို့	ဖရန့်ဖြစ်ချင်လို့
Found!ဖျန့်လစ်စ်	ဖရန့်လစ်စ်
Found!_ာသည်မ	ဖာသည်မ
Found!ဖိနှိ်ပ်ခံရမှု	ဖိနှိပ်ခံရမှု
Found!ဖူးဖူးမူတ်	ဖူးဖူးမှုတ်
Found!ဖေဖေါ်ဝါရီလ	ဖေဖော်ဝါရီလ
Found!ဖေါ်စေချင်တယ်	ဖော်စေချင်တယ်
Found!ဖေါ်ဆောင်ဖြင်း	ဖော်ဆောင်ခြင်း
Found!ဖော်ဆော်နိူင်ချက်	ဖော်ဆောင်နိုင်ချက်
Found!ဖေါ်ထုတ်နိုင်	ဖော်ထုတ်နိုင်
Found!ဖေါ်ထုတ်သူ	ဖော်ထုတ်သူ
Found!ဖေါ်ပြခဲ့ကြပြီး	ဖော်ပြခဲ့ကြပြီး
Found!ဖေါ်ပြခဲ့ပါတယ်	ဖော်ပြခဲ့ပါတယ်
Found!ဖေါ်ပြခဲ့	ဖော်ပြခဲ့
Found!ဖေါ်ပြထားတဲ့	ဖော်ပြထားတဲ့
Found!ဖတ်လေးတွေနဲ့	ဖက်လေးတွေနဲ့
Found!ဖေါက်ခွဲရေး	ဖောက်ခွဲရေး
Found!ဖေါက်စားတယ်	ဖောက်စားတယ်
Found!ဖျင်လန်ပြပြီး	ဖင်လန်ပြပြီး
Found!ဖတ်ကြပြပါတယ်	ဖတ်ပြကြပါတယ်
Found!ဖိိတ်ကျွေးခြင်း	ဖိတ်ကျွေးခြင်း
Found!ဖမ်းခံ၇တာလို့ 	ဖမ်းခံရတာလို့ 
Found!ဖမ်းမမိ်သေးတဲ့	ဖမ်းမမိသေးတဲ့
Found!ဖမ်မမိသေး	ဖမ်းမမိသေး
Found!ဖျတ်ဆီးလိုက်တဲ့	ဖျက်ဆီးလိုက်တဲ့
Found!ဖြစ်ကုန်တာပေါ်	ဖြစ်ကုန်တာပေါ့
Found!ဖြစ်ခဲ့ရသည”်	ဖြစ်ခဲ့ရသည်
Found!ဖြစ်နေ တာကြောင်	ဖြစ်နေ တာကြောင့်
Found!ဖြစ်နေပြိ	ဖြစ်နေပြီ
Found!ဖစ်နေမှာဆိုးလို့	ဖြစ်နေမှာစိုးလို့
Found!ဖြစ်နေလို	ဖြစ်နေလို့
Found!ဖစ်နိုင်ရင် 	ဖြစ်နိုင်ရင် 
Found!ဖစ်ပျက်နေတာ	ဖြစ်ပျက်နေတာ
Found!ဖြစ်ပွါးခဲ့တာဟာ	ဖြစ်ပွားခဲ့တာဟာ
Found!ဖြစ်ပွါး	ဖြစ်ပွား
Found!ဖြစ်လာနိ်ုင်	ဖြစ်လာနိုင်
Found!ဖြစ် လိမ် ့မယ်	ဖြစ် လိမ့်မယ်
Found!ဖြစ်သလို	ဖြစ်သလို
Found!ဖြစ်သွားပီ	ဖြစ်သွားပြီ
Found!ဖြတ် စီးပြစ် လိမ် ့မယ်	ဖြတ် စီးပြစ် လိမ့်မယ်
Found!ဖွငိ့ချပြတာပါ	ဖွင့်ချပြတာပါ
Found!ဗစ်နစ်ဖွဲဖား	ဗစ်နစ်ဇွဲလား
Found!ဗိ်ုလ်ချုပ်ကြီး	ဗိုလ်ချုပ်ကြီး
Found!ဗိ်ုလ်ချုပ်မှုးကြီး	ဗိုလ်ချုပ်မှုးကြီး
Found!ဗိ်ုလ်မှူးကြီး	ဗိုလ်မှူးကြီး
Found!ဗျိ ု့	ဗျို့
Found!ဗြိတိတ်	ဗြိတိန်
Found!ဘရားဇီးမြီု့	ဘရားဇီးမြို့
Found!ဘာကြောင်း	ဘာကြောင့်
Found!ဘာမှာလည်း	ဘာမှလည်း
Found!ဘာလုပ် သင် ့တယ်	ဘာလုပ် သင့်တယ်
Found!ဘော်လုံး	ဘောလုံး
Found!ဘော့လုံးသမားဟောင်း	ဘောလုံးသမားဟောင်း
Found!ဘင်္ဂ်လားဒေ့ရှ်	ဘင်္ဂလားဒေ့ရှ်
Found!ဘတ်ဂျက်ရဲ ့	ဘတ်ဂျက်ရဲ့
Found!ဘုန်းကြီ်းကျောင်း	ဘုန်းကြီးကျောင်း
Found!ဘယ်ပြောက်နေမှန်းကိုမသိဘူး	ဘယ်ပျောက်နေမှန်းကိုမသိဘူး
Found!ပယ်လို ပယ်လို	ဘယ်လို ဘယ်လို
Found!ဘယ်ဟာဝယ်ရမလံ	ဘယ်ဟာဝယ်ရမလဲ
Found!ဘယ်အချိန်ဖင့်ပြီး	ဘယ်အချိန်ဖွင့်ပြီး
Found!မတတပ်ဘူး	မကတတ်ဘူး
Found!မကောင်းဖုးလို့	မကောင်းဘူးလို့
Found!မကောင်းမှု့	မကောင်းမှု
Found!မကျတေးဘူး	မကျသေးဘူး
Found!မကြေနပ်မှု	မကျေနပ်မှု
Found!မကြာခန	မကြာခဏ
Found!မကြိုက်တည	မကြိုက်တာ
Found!မချစ်ပါဘူကွာ	မချစ်ပါဘူးကွာ
Found!မငှဲ ့ဘဲ	မငှဲ့ဘဲ
Found!မစူးစိ်ုက်နိုင်တာမျိုး	မစူးစိုက်နိုင်တာမျိုး
Found!မဆိုးပါဖူး	မဆိုးပါဘူး
Found!မဆောက်ပေးနိုုင်ဘူးတဲ့	မဆောက်ပေးနိုင်ဘူးတဲ့
Found!မဆန်ပါ 	မဆန်းပါ 
Found!မတူဘူးပေါ့့လေ	မတူဘူးပေါ့လေ
Found!မတတ််နိင်ဘူး	မတတ်နိင်ဘူး
Found!မတိမ်းမရိမ်း	မတိမ်းမယိမ်း
Found!မတွေ့ဖူးသေးပါ	မတွေ့ဘူးသေးပါ
Found!မထား ဖိုဆိုတာ	မထား ဖို့ဆိုတာ
Found!မထွက်ရတေးဘူး	မထွက်ရသေးဘူး
Found!မနည်သတိထားနေတယ်	မနည်းသတိထားနေတယ်
Found!မနှိူင်းယှဉ်ပါနဲ့	မနှိုင်းယှဉ်ပါနဲ့
Found!မပျံနိ်ုင်	မပျံနိုင်
Found!မပြုသင့်ဖူး	မပြုသင့်ဘူး
Found!မပြိုင်သင့်ဖူး	မပြိုင်သင့်ဘူး
Found!မမီလို့	မမီလို့
Found!မမေးခြင်တော့ပါဘူး	မမေးချင်တော့ပါဘူး
Found!မမြင်ပါလာ	မမြင်ပါလား
Found!မမြင်ရတေးဘူးလေ	မမြင်ရသေးဘူးလေ
Found!မရသည် ့	မရသည့်
Found!မရင့်ကြက်ကြသေးတာ	မရင့်ကျက်ကြသေးတာ
Found!မ၇ပ်တည်ပါနဲ့	မရပ်တည်ပါနဲ့
Found!ရှိတော့ဘူး	မရှိတော့ဘူး
Found!မရှ်ိပါဘူး	မရှိပါဘူး
Found!မရှိ်ရင် 	မရှိရင် 
Found!မရှင်းပြသင့်ဖူး	မရှင်းပြသင့်ဘူး
Found!မလိုလားလာ	မလိုလားတာ
Found!မလွတ်းတေးပါဘူး	မလွတ်သေးပါဘူး
Found!မလျော်သင့်ပေမယ့်	မလျှော်သင့်ပေမယ့်
Found!အသိခဲ့ဘူး	မသိခဲ့ဘူး
Found!မသေခြာ	မသေချာ
Found!မသဲကွဲဖူး	မသဲကွဲဘူး
Found!မသတ်မှတ်ရဘူးလေး	မသတ်မှတ်ရဘူးလေ
Found!မသွား နိ်ုင်ဘူး	မသွား နိုင်ဘူး
Found!မသွားဘာဘူး	မသွားပါဘူး
Found!မသွာအောင် 	မသွားအောင် 
Found!မသွင်းခဲ့၇ဘူးပေါ့	မသွင်းခဲ့ရဘူးပေါ့
Found!မဟောင်နိူင်တဲ့	မဟောင်နိုင်တဲ့
Found!မဟုတ်ပါပူး	မဟုတ်ပါဘူး
Found!မဟုတ်ဘူူး	မဟုတ်ဘူး
Found!မဟုတ်ဖူးလား	မဟုတ်ဘူးလား
Found!မဟုတလား	မဟုတ်လား
Found!မိသားစုဂသူငယ်ချင်းတွေနဲ့	မိသားစုသူငယ်ချင်းတွေနဲ့
Found!မီဒီလာ	မီဒီယာ
Found!မီးမှောင်းထိုးထားပါတယ်	မီးမောင်းထိုးထားပါတယ်
Found!မိရထားလမ်းဆောက်လုပ်ရေး	မီးရထားလမ်းဆောက်လုပ်ရေး
Found!မီးရှိုးမှု	မီးရှို့မှု
Found!မူးပီး	မူးပြီး
Found!မူယစ်ဆေးဝါး	မူးယစ်ဆေးဝါး
Found!မေမေဆီ	မေမေ့ဆီ
Found!မေလဆန်းပိ်ုင်း	မေလဆန်းပိုင်း
Found!မောဟလည်းမကြီးချင်ပု	မောဟလည်းမကြီးချင်ဘူး
Found!မိ်ုးကျပြီးမှ	မိုးကျပြီးမှ
Found!မိုးလေဝဿ	မိုးလေဝသ
Found!မင်းအောင်လှိ်ုင်	မင်းအောင်လှိုင်
Found!မိုင်ပေါက်ကွဲမှု	မိုင်းပေါက်ကွဲမှု
Found!မိန့်ခွနး	မိန့်ခွန်း
Found!မိန်းခလေး	မိန်းကလေး
Found!မိန်းမဖြစ်၇တာဟာ	မိန်းမဖြစ်ရတာဟာ
Found!မိနိးမ	မိန်းမ
Found!မိ်န်းမ	မိန်းမ
Found!မုန်းတိုင်း	မုန်တိုင်း
Found!မယ်သိီတာ	မယ်သီတာ
Found!များလာခြင် း	များလာခြင်း
Found!မျာလား	များလား
Found!မျိူးဆက်သစ်	မျိုးဆက်သစ်
Found!မျက်မှောက်ပြုလွယ်နိူင်	မျက်မှောက်ပြုလွယ်နိုင်
Found!မျောက်ပြဆန်တောင်	မျောက်ပြဆန်တောင်း
Found!မြေတောင်မြောက်ပေး	မြေတောင်မြှောက်ပေး
Found!မြောက်ကိုးရီးယား	မြောက်ကိုရီးယား
Found!မြောက်ပိ်ုင်း	မြောက်ပိုင်း
Found!မြောက်ပိုုင်း	မြောက်ပိုင်း
Found!မြင်ခြင်တယ်	မြင်ချင်တယ်
Found!မြင်တက်လာကြရင်	မြင်တတ်လာကြရင်
Found!မြင်တွေ့နေကျ	မြင်တွေ့နေကြ
Found!မြင်တွေ့ ့	မြင်တွေ့ 
Found!မြင်ဖူးသွားပီ	မြင်ဖူးသွားပြီ
Found!မြင်အိပါတယ်	မြင်မိပါတယ်
Found!မြှင့်တက်နေပြီး	မြင့်တက်နေပြီး
Found!မြတ်နိုူးနိူင်မယ့်	မြတ်နိုးနိုင်မယ့်
Found!မြန်မာဒေတ	မြန်မာဒေသ
Found!မြန်မာနိ်ုင်ငံ	မြန်မာနိုင်ငံ
Found!မြန်မာနိူင်ငံ	မြန်မာနိုင်ငံ
Found!မြန်မာ့နိူင်ငံ	မြန်မာနိုင်ငံ
Found!မြန်မာနိ်ုင်ငံသား	မြန်မာနိုင်ငံသား
Found!မြန်မှာပြည်	မြန်မာပြည်
Found!မွေးလာကစ	မွေးလာကာစ
Found!မ ျှဝေခဲ့ပါတယ်	မျှဝေခဲ့ပါတယ်
Found!မျှဝေရင် း 	မျှဝေရင်း 
Found!မြင့်တင်ပေးဖို့	မြှင့်တင်ပေးဖို့
Found!မွှေ ့ရာလေး	မွှေ့ရာလေး
Found!ယခုကဲ့သို	ယခုကဲ့သို့
Found!ယူနိုငမယ်	ယူနိုင်မယ်
Found!ယူသင် ့တယ်	ယူသင့်တယ်
Found!ယူသွါးမယ်လို့	ယူသွားမယ်လို့
Found!ယောက်ကျားလေး	ယောက်ျားလေး
Found!ယောက်ကျားသား	ယောက်ျားသား
Found!ယဉ်ကျေးမု	ယဉ်ကျေးမှု
Found!ယဉ်ဂျေးမှု	ယဉ်ကျေးမှု
Found!ယုံကြည်မူ	ယုံကြည်မှု
Found!ယူံစားလာခဲ့တယ်	ယုံစားလာခဲ့တယ်
Found!ယှာဉ်ကြည့်မှာ	ယှဉ်ကြည့်မှာ
Found!ယှာဉ်ကြည့်ရင်	ယှဉ်ကြည့်ရင်
Found!ရတနာပုုံ	ရတနာပုံ
Found!ရထားတန် 	ရထားတန်း
Found!ရမလာ း	ရမလား
Found!ရဉီးမှာပါ	ရဦးမှာပါ
Found!ရာခိုင်နှုုန်းက	ရာခိုင်နှုန်းက
Found!ရာသိသွေး	ရာသီသွေး
Found!ရီခြင်စရာတော့	ရီချင်စရာတော့
Found!ရေခဲသေတ္တ	ရေခဲသေတ္တာ
Found!ရေထိသ ွားတယ်	ရေထိသွားတယ်
Found!ရေနစ်မြှုပ်	ရေနစ်မြုပ်
Found!ရေရှားပါးတြ့	ရေရှားပါးတဲ့
Found!ရေးထညးတာ	ရေးထားတာ
Found!ရေးနိုင်ဖို	ရေးနိုင်ဖို့
Found!ရဲ ဖော်တွေ	ရဲဘော်တွေ
Found!ရဲမေ်တော်ယာဉ်	ရဲမော်တော်ယာဉ်
Found!ရော်ဘာကျည်ဆန်နဲ့ပြစ်	ရော်ဘာကျည်ဆန်နဲ့ပစ်
Found!ရက်ရောကျတာမျိုး	ရက်ရောကြတာမျိုး
Found!ရောက်တော့မရ် 	ရောက်တော့မယ်
Found!ရောက်ဖိ်ု့	ရောက်ဖို့
Found!ရောက်၇ှိနေပြီ	ရောက်ရှိနေပြီ
Found!ရောက်အောင်သွားဖို	ရောက်အောင်သွားဖို့
Found!ရင် းနှီးပြီး	ရင်းနှီးပြီး
Found!ရင်းနှီးမြှုပ်နှံမှီု	ရင်းနှီးမြှုပ်နှံမှု
Found!ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်	ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်
Found!ရိုင်းစိုက်ကြမ်းကြုပ်	ရိုင်းစိုင်းကြမ်းကြုတ်
Found!ရည် မှန် းချက် 	ရည် မှန်းချက် 
Found!ရည် မှန် းချက်	ရည် မှန်းချက်
Found!ရည် မှန် းထားပါ	ရည် မှန်းထားပါ
Found!ရန်ကုန်တိ်ုင်း	ရန်ကုန်တိုင်း
Found!ရန်ကုန်မြို	ရန်ကုန်မြို့
Found!ရန်ကုန်မြို	ရန်ကုန်မြို့
Found!ရန်ကုန်မာတုန်းက	ရန်ကုန်မှာတုန်းက
Found!ရပ်ကြပါတော	ရပ်ကြပါတော့
Found!ရပ်တည်ပေးနိူင်	ရပ်တည်ပေးနိုင်
Found!ရယ်မောပျော်ရွှင်နိူင်ကြပါစေ	ရယ်မောပျော်ရွှင်နိုင်ကြပါစေ
Found!ရွေးချယ်နိုင်ဖိုပ	ရွေးချယ်နိုင်ဖို့
Found!ရွေးချယ်လိ်ု့မရဘူး	ရွေးချယ်လို့မရဘူး
Found!ရွက်ဆောင်နိူင်ပါစေ	ရွက်ဆောင်နိုင်ပါစေ
Found!ရှာနိုင် သည် ့	ရှာနိုင် သည့်
Found!ရှိကျပါတယ်	ရှိကြပါတယ်
Found!ရှိခဲ့လျင်	ရှိခဲ့လျှင်
Found!၇ှိတယ်	ရှိတယ်
Found!ရှိနေတ့	ရှိနေတဲ့
Found!ရှိနေပါလျှက်	ရှိနေပါလျက်
Found!ရှိ်ဖို့	ရှိဖို့
Found!ရှိသည် ့အတွက်	ရှိသည့်အတွက်
Found!ရှုထောင်း	ရှုထောင့်
Found!ရှ ုဒေါင့်စုံက	ရှုဒေါင့်စုံက
Found!ရှုမင်ကြပါတယ်ရှင်	ရှုမြင်ကြပါတယ်ရှင်
Found!ရှိုးဖိနပ်	ရှူးဖိနပ်
Found!ရှေ ့နေ	ရှေ့နေ
Found!ရှင်စောပူ	ရှင်စောပု
Found!ရှင်း ပြစ်ပြီး	ရှင်း ပစ်ပြီး
Found!ရှူံးခဲ့တဲ့	ရှုံးခဲ့တဲ့
Found!ရှူံးတာလား	ရှုံးတာလား
Found!ရွှေ ့ပြောင်း	ရွှေ့ပြောင်း
Found!ရွှေ ့	ရွှေ့
Found!လဆန်းပိ်ုင်း	လဆန်းပိုင်း
Found!လာရောက်ကျပါရန်	လာရောက်ကြပါရန်
Found!လူယေ်တွေ	လူငယ်တွေ
Found!လူယေ်လူရွယ်	လူငယ်လူရွယ်
Found!လူတိ်ုင်း	လူတိုင်း
Found!လူတတ်ကြီးလုပ်ချငိကြတာကိုး	လူတတ်ကြီးလုပ်ချင်ကြတာကိုး
Found!လူတွေကိ်ု	လူတွေကို
Found!လူပျိုကြိီး	လူပျိုကြီး
Found!လူမူ့ရေး	လူမှုရေး
Found!လူဥိးရေ	လူဦးရေ
Found!လေကြောင်းလိ်ုင်း	လေကြောင်းလိုင်း
Found!လေယာဉ်တင်း	လေယာဉ်တင်
Found!လေလံပြစ်ပွဲကြီး	လေလံပစ်ပွဲကြီး
Found!လေ့လာခဲရ	လေ့လာခဲ့ရ
Found!ငလေးစားမိပါတယ်	လေးစားမိပါတယ်
Found!လေးစားလျှက်	လေးစားလျက်
Found!လက္ခံမယ်လို့	လက်ခံမယ်လို့
Found!လက်နက်ကိ်ုင်တပ်	လက်နက်ကိုင်တပ်
Found!လက်နက်ကိ်ုင်	လက်နက်ကိုင်
Found!လက်မခံနိူင်ခြင်း	လက်မခံနိုင်ခြင်း
Found!လက်ရှိမှာတော	လက်ရှိမှာတော့
Found!လက်သည်းဆိုးဆေးနံ ့	လက်သည်းဆိုးဆေးနံ့
Found!လက်သည်းဆိ်ုးဆေးအနံ့	လက်သည်းဆိုးဆေးအနံ့
Found!လိ်ုက်တက်ခွင့်ရမှာပါ	လိုက်တက်ခွင့်ရမှာပါ
Found!လိုက်နိ်ုင်ကြပါတယ်	လိုက်နိုင်ကြပါတယ်
Found!လိုက်ဖက်နေတာ	လိုက်ဖတ်နေတာ
Found!လိုက်ဖက်နေတုန်း	လိုက်ဖတ်နေတုန်း
Found!လိ်ုက်လျောချက်	လိုက်လျောချက်
Found!လုပ်ကိ်ုင်	လုပ်ကိုင်
Found!လုပ်ပခဲ့တဲ့	လုပ်ခဲ့တဲ့
Found!လုပ်ငန်းှင်	လုပ်ငန်းရှင်
Found!လုပ် ငန် း	လုပ် ငန်း
Found!လုပ်နေသာလဲ	လုပ်နေတာလဲ
Found!လုပ်နိ်ုင်ကြတယ်	လုပ်နိုင်ကြတယ်
Found!လုပ်နိ်ုင်ဖို့ပဲ	လုပ်နိုင်ဖို့ပဲ
Found!လုပ်ပေးနိူင်တဲ့	လုပ်ပေးနိုင်တဲ့
Found!လုပ်ပြိးမှ	လုပ်ပြီးမှ
Found!လုပ်ဖေါ်ကိုင်ဖက်	လုပ်ဖော်ကိုင်ဖက်
Found!လုပ်ဖေါ်ကိုင်ဖက်	လုပ်ဖော်ကိုင်ဖက်
Found!လူပ်မပေးန်ုင်	လုပ်မပေးနိုင်
Found!လုပ်ရပါလိ်မ့်မယ်	လုပ်ရပါလိမ့်မယ်
Found!လမ်းပျော်နေမှာ	လမ်းပျောက်နေမှာ
Found!လမ်းဖေါက်လုပ်ရေး	လမ်းဖောက်လုပ်ရေး
Found!လိ်မ့်မယ်၊	လိမ့်မယ်၊
Found!လိ်မ့်မယ်	လိမ့်မယ်
Found!လေုံခြုံရေး	လုံခြုံရေး
Found!လုံံ့လ 	လုံ့လ 
Found!လယ်မြေသိမ်းးခံရတာနဲ့	လယ်မြေသိမ်းခံရတာနဲ့
Found!လျှာထားခံ	လျာထားခံ
Found!လျှော်ကြေး	လျော်ကြေး
Found!လွှဲသွားတယ်	လွဲသွားတယ်
Found!လွှတ်မြောက်ကျမှာပါ	လွတ်မြောက်ကြမှာပါ
Found!ခွတ်မြောက်လာမယ်	လွတ်မြောက်လာမယ်
Found!လွှတ်လပ်ရေး	လွတ်လပ်ရေး
Found!လှလှလေးဒေရမယ်	လှလှလေးတွေရမယ်
Found!လှူဒါန်လိုသူများ	လှူဒါန်းလိုသူများ
Found!လှုပေးဖို့	လှူပေးဖို့
Found!လှိုင်မြို ့နယ်	လှိုင်မြို့နယ်
Found!လှိုင်ခေါင်း	လှိုဏ်ခေါင်း
Found!လုူပ်ရှားကြ	လှုပ်ရှားကြ
Found!လှန်းအကြောင်းကြားမှပဲ	လှမ်းအကြောင်းကြားမှပဲ
Found!လျော့ချတယ်	လျှော့ချတယ်
Found!လျော့ချဖို့	လျှော့ချဖို့
Found!လျော်ရမယ် 	လျှော်ရမယ် 
Found!လျှို ့ဝှက်ချက်	လျှို့ဝှက်ချက်
Found!လျောက်ကြည့်တော့	လျှောက်ကြည့်တော့
Found!လျောက်လှမ်းနိူင်ပါစေ	လျှောက်လှမ်းနိုင်ပါစေ
Found!လျပ်စစ်ဓါတ်အား	လျှပ်စစ်ဓါတ်အား
Found!လွှတ်တာ်	လွှတ်တော်
Found!လွတ်ပေးခဲ့တာ	လွှတ်ပေးခဲ့တာ
Found!၂ဝ၁၂ဝ	၂ဝ၂ဝ
Found!၀ါတော် 	ဝါတော် 
Found!၀ါရှင်တန်	ဝါရှင်တန်
Found!ဝါသန်ပါခဲ့တော့	ဝါသနာပါခဲ့တော့
Found!ေးသလား	ဝေးသလား
Found!ဝင်ကြ၇တယ်	ဝင်ကြရတယ်
Found!ဝင် ငွေနည် းနေပေမဲ့	ဝင် ငွေနည်းနေပေမဲ့
Found!ဝိုင်ကူညီကြဖို့ 	ဝိုင်းကူညီကြဖို့ 
Found!ဝပ်ရှော့လး	ဝပ်ရှော့လေး
Found!ဝမ်းနည်းလားပီ	ဝမ်းနည်းလားပြီ
