Found!ကလော်ထုတ်ခြင်တော့တာပါဘဲ	ကလော်ထုတ်ချင်တော့တာပါဘဲ
Found!ရော်ဘာကျည်ဆန်နဲ့ပြစ်	ရော်ဘာကျည်ဆန်နဲ့ပစ်
Found!ရက်ရောကျတာမျိုး	ရက်ရောကြတာမျိုး
Found!ရောက်၇ှိနေပြီ	ရောက်ရှိနေပြီ
Found!ရောက်အောင်သွားဖို	ရောက်အောင်သွားဖို့
Found!ရင်းနှီးမြှုပ်နှံမှီု	ရင်းနှီးမြှုပ်နှံမှု
Found!ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်	ရောင်းချႏ နိုင်ဖွယ်ရှိတယ်
Found!ရောင် းပေးခြင် း	ရောင်းပေးခြင်း
Found!ရိုင်းစိုက်ကြမ်းကြုပ်	ရိုင်းစိုင်းကြမ်းကြုတ်
Found!ရည် မှန် းချက် 	ရည် မှန်းချက် 
Found!ရည် မှန် းထားပါ	ရည် မှန်းထားပါ
Found!ရယ်မောပျော်ရွှင်နိူင်ကြပါစေ	ရယ်မောပျော်ရွှင်နိုင်ကြပါစေ
Found!ရွေးချယ်နိုင်ဖိုပ	ရွေးချယ်နိုင်ဖို့
Found!ရွေးချယ်လိ်ု့မရဘူး	ရွေးချယ်လို့မရဘူး
Found!ရှာနိုင် သည် ့	ရှာနိုင် သည့်
Found!ရှ ုဒေါင့်စုံက	ရှုဒေါင့်စုံက
Found!ရှုမင်ကြပါတယ်ရှင်	ရှုမြင်ကြပါတယ်ရှင်
Found!ရှင် းလင် းပြောကြားရမည် ့	ရှင်းလင်းပြောကြားရမည့်
Found!ရှင် းလင် းပြောပြသည်	ရှင်းလင်းပြောပြသည်
Found!ရှုတ်ချကြောင်း၊	ရှုံ့ချကြောင်း၊
Found!လူငယ်တေ ွ 	လူငယ်တွေ
Found!လူတတ်ကြီးလုပ်ချငိကြတာကိုး	လူတတ်ကြီးလုပ်ချင်ကြတာကိုး
Found!လေကြောင်းလိ်ုင်း	လေကြောင်းလိုင်း
Found!လေလံပြစ်ပွဲကြီး	လေလံပစ်ပွဲကြီး
Found!လေ့ လာမှု့ 	လေ့ လာမှု
Found!လက်သည်းဆိုးဆေးနံ ့	လက်သည်းဆိုးဆေးနံ့
Found!လိ်ုက်တက်ခွင့်ရမှာပါ	လိုက်တက်ခွင့်ရမှာပါ
Found!လည်းေ၇ကြီးမူ	လည်းရေကြီးမူ
Found!လုပ်ဆောင်တာကိုး 	လုပ်ဆောင်တာကို
Found!လုပ်နိ်ုင်ဖို့ပဲ	လုပ်နိုင်ဖို့ပဲ
Found!လုပ် နိုင် မည် ့ 	လုပ် နိုင် မည့်
Found!လမ်းပျော်နေမှာ	လမ်းပျောက်နေမှာ
Found!လေုံခြုံရေး	လုံခြုံရေး
Found!လယ်မြေသိမ်းးခံရတာနဲ့	လယ်မြေသိမ်းခံရတာနဲ့
Found!လွှတ်မြောက်ကျမှာပါ	လွတ်မြောက်ကြမှာပါ
Found!လတွ်မြောက်ဖို့	လွတ်မြောက်ဖို့
Found!လတွ်မြောက်မယ်	လွတ်မြောက်မယ်
Found!လှူဒါန်လိုသူများ	လှူဒါန်းလိုသူများ
Found!လှိုင်မြို ့နယ်	လှိုင်မြို့နယ်
Found!လှန်းအကြောင်းကြားမှပဲ	လှမ်းအကြောင်းကြားမှပဲ
Found!လျော့ပေးုပီး	လျှော့ပေးပြီး
Found!လျောက်လှမ်းနိူင်ပါစေ	လျှောက်လှမ်းနိုင်ပါစေ
Found!ဝင် ငွေနည် းနေပေမဲ့	ဝင် ငွေနည်းနေပေမဲ့
Found!ဝိုင်ကူညီကြဖို့ 	ဝိုင်းကူညီကြဖို့ 
Found!သတင်းထောက်တိ်ုင်း	သတင်းထောက်တိုင်း
Found!သပိတ်မှောက်ဆို့ 	သပိတ်မှောက်စို့
Found!သဘောတရားိကု	သဘောတရားကို
Found!သီချင် းခွေ 	သီချင်းခွေ 
Found!သပ်လျှျိုရှိတဲ့အခါမှာ	သူလျှိုရှိတဲ့အခါမှာ
Found!သေဆုုံး ကုန်ရတယ်	သေဆုံး ကုန်ရတယ်
Found!သို့သော်လညး်	သို့သော်လည်း
Found!သက်ကြီးရွယ်အိ်ု	သက်ကြီးရွယ်အို
Found!သောက်စားချင်တိ်ုင်း	သောက်စားချင်တိုင်း
Found!တင်ခိုင်းစေချင်တယ်	သင်ခိုင်းစေချင်တယ်
Found!သင်ဖြူ းဖျာကလေး	သင်ဖြူးဖျာကလေး
Found!သီးခံပေးပါဦး	သည်းခံပေးပါဦး
Found!သုက်ပိုးကိုမှု	သုတ်ပိုးကို
Found!သန် းပေါင် းများစွာ	သန်းပေါင်းများစွာ
Found!သိန်းတထောင်ကျော်	သိန်းတစ်ထောင်ကျော်
Found!သိတ်ဂရုမစိုက်ကြလို့	သိပ်ဂရုမစိုက်ကြလို့
Found!သိပံ္ပနည်းကျ 	သိပ္ပံနည်းကျ 
Found!သီမ်းဆည်းခဲ့ ပြီး 	သိမ်းဆည်းခဲ့ ပြီး 
Found!သိ်မ်းယူဖို့ 	သိမ်းယူဖို့ 
Found!သွယ်တန်းပေးနိူင်ဆဲ	သွယ်တန်းပေးနိုင်ဆဲ
Found!ဟိုရွေ ့ဒီရွေ့	ဟိုရွှေ့ဒီရွှေ့
Found!အကူညီတောင်ခံတာပါ	အကူညီတောင်းခံတာပါ
Found!အကူအညီတောင်မလား	အကူအညီတောင်းမလား
Found!အကောင်အထည် ဖေါ်နေတဲ့ 	အကောင်အထည် ဖော်နေတဲ့ 
Found!အကောင်အထည် ဖောက်နိုင်ဖို့	အကောင်အထည် ဖော်နိုင်ဖို့
Found!အကောင်းဆုံးဖစ်အောင်	အကောင်းဆုံးဖြစ်အောင်
Found!အကုန်ရပီမလားတယ့်	အကုန်ရပီမလားတဲ့
Found!အကျီူးပြုနေလို့ပါ	အကျိုးပြုနေလို့ပါ
Found!အကြောင် းတွေပဲ 	အကြောင်းတွေပဲ 
Found!အကြောငး်မျိုးမျိုး	အကြောင်းမျိုးမျိုး
Found!အကွက်မရွေ့ ့မှီ 	အကွက်မရွှေ့မှီ 
Found!အချိနါကုန်သွားတယ်	အချိန်ကုန်သွားတယ်
Found!အငြိုတေးထားခြင်း	အငြိုးတေးထားခြင်း
Found!အဌားသုံးဖို့ဘဲ	အငှားသုံးဖို့ပဲ
Found!အစွဲအလမ်းကြီးပီး	အစွဲအလမ်းကြီးပြီး
Found!အဆက်သွယ်မရှိတဲ့တဲ့သူ	အဆက်သွယ်မရှိတဲ့သူ
Found!အဆင်ပြေပေမဲ့ 	အဆင်ပြေပေမယ့်
Found!အဆင်မပြေမှု့	အဆင်မပြေမှု
Found!အဆင်သင့် ဖစ်ပြီလား	အဆင်သင့် ဖြစ်ပြီလား
Found!အဆင့်အတန်းသိအောင်လုပ်ပြစ်လိုက်	အဆင့်အတန်းသိအောင်လုပ်ပစ်လိုက်
Found!အဆုံးမတော့ 	အဆုံးမတော့ 
Found!အတော်များများကြ	အတော်များများက
Found!အတာ် လေးကောင် းပါတယ် 	အတော် လေးကောင်းပါတယ် 
Found!အတော် အသင် ့ 	အတော် အသင့်
Found!အတည်ပြုနိ်ုင်တဲ့	အတည်ပြုနိုင်တဲ့
Found!အတေ့်အကြုံ	အတွေ့အကြုံ
Found!အတွေ့ အကြံ ု 	အတွေ့ အကြုံ
Found!အနားမယူမိခဲဲ့ရင် 	အနားမယူမိခဲ့ရင် 
Found!အနားယူလိုက်ပါအုံးမယ်	အနားယူလိုက်ပါဦးမယ်
Found!အပျာ်အပါးတွေ	အပျော်အပါးတွေ
Found!အပစ်မြင်ပါတော့တယ်	အပြစ်မြင်ပါတော့တယ်
Found!အဖြေရှာပေးလိမ် ့မည် 	အဖြေရှာပေးလိမ့်မည် 
Found!အဖွဲ ့အစည်းများ	အဖွဲ့အစည်းများ
Found!အမိန် ့နဲ ့ 	အမိန့်နဲ့
Found!အမိူက်မီးရိူ့စက်	အမှိုက်မီးရှို့စက်
Found!အရေကျုံ ့ပြီ	အရေကျုံ့ပြီ
Found!အရင် းနှီးနည် းတယ်	အရင်းနှီးနည်းတယ်
Found!အရင် းအနှီးလုပ် ခိုင် းမည်	အရင်းအနှီးလုပ် ခိုင်းမည်
Found!အရောင် းအဝယ် လုပ် ခြင် း	အရောင်းအဝယ် လုပ် ခြင်း
Found!အရမ်းကျနေတပြီး	အရမ်းကျနေပြီး
Found!အရှုံးပေါ်နေစဲ	အရှုံးပေါ်နေဆဲ
Found!အလျှော်လိုချင်တာမျိုး	အလျော်လိုချင်တာမျိုး
Found!အလွှဲသုံးစာမှုနဲ့တော့	အလွဲသုံးစားမှုနဲ့တော့
Found!အလွှဲသုံးစားလုပ်တယ်	အလွဲသုံးစားလုပ်တယ်
Found! အလှမ် းမဝေးတဲ့ 	 အလှမ်း မဝေးတဲ့ 
Found!အလှမ် းမဝေးပါစေနှင် ့	အလှမ်းမဝေးပါစေနှင့်
Found!အသင် းရှိသလို	အသင်းရှိသလို
Found!အသင် းလဲ ရှိသည် 	အသင်းလဲ ရှိသည် 
Found!အသုံးချလိုက် ခြင် း	အသုံးချလိုက် ခြင်း
Found!အာမညောင်းသရွေ ့	အာမညောင်းသရွေ့
Found!အာရုံစိုက်နိုင်တာ်	အာရုံစိုက်နိုင်တောင်
Found!အာရုံမစိုက် သင် ့ပါ	အာရုံမစိုက် သင့်ပါ
Found!အားပေးလှုန့်ဆော်တာမျိုး	အားပေးလှုံ့ဆော်တာမျိုး
Found!အားပေး အားမြှောက်မှု့	အားပေး အားမြှောက်မှု
Found!အားပေးအားမြောက်	အားပေးအားမြှောက်
Found!အီသီယိုးပီးယာား	အီသီယိုးပီးယား
Found!ဉီးတင်မောင်ဆွေ	ဦးတင်မောင်ဆွေ
Found!အဲ့လိုဆိူရင်ကော	အဲ့လိုဆိုရင်ကော
Found!အံ့အားသင် ့ စရာက 	အံ့အားသင့်စရာက 
Found!ဥက ္ကလာပ	ဥက္ကလာပ
Found!အင်းဂါးလိပ် လိုတွေဘဲ 	အင်္ဂလိပ် လိုတွေပဲ 
Found!အင်တာနတ်ရှင်နောင်	အင်တာနက်ရှင်နယ်
Found!အောင်ပွွဲဝင် 	အောင်ပွဲဝင်
Found!အိုင် ဒီယာကောင် းတွေရှိရင်	အိုင် ဒီယာကောင်းတွေရှိရင်
Found!အိုင် ဒီယာကောင် း	အိုင် ဒီယာကောင်း
Found!အစ္စလာ်မ်မစ်ဘာသာ	အစ္စလာမ်မစ်ဘာသာ
Found!အိ်တ်ဖွင့်ပေးစာ	အိတ်ဖွင့်ပေးစာ
Found!အိမ ်ထောင်သည် 	အိမ်ထောင်သည် 
Found!အိမ်နီးချင်းနိ်ုင်ငံတွေ	အိမ်နီးချင်းနိုင်ငံတွေ
